FINAL_FOLDER_NAME,TESTSET_NAME,TESTSET_ID,TEST_INSTANCE_UNIQUE_ID,TEST_NAME,RESPONSIBLE_TESTER,TESTINSTANCE_STATUS,RUN_ID,EXECUTION_DATE,RUN_STATUS,DEFECT_ID,AR_NUMBER,DEFECT_BY,DEFECT_STATUS,LINKED_AR_STATUS,LINKED_AR_STATUS_DETAILS,LASTRUN_FLAG,TAGS
I41,Stage_2_Manual initiate VM migrations through vShphere,6033,33112,Manual initiate VM migrations through vShphere,chenn8,Failed,364952,2018/10/29 0:00,Failed,10529,MDT-48305,longp3,Open,,,0,C158
I164_I39_I167,stage_3_Massive object modifications expand_shrink_during IO running,5996,33129,Massive object modifications expand_shrink_during IO running,yanb,Failed,364950,2018/10/29 0:00,Failed,10530,MDT-48307,yanh3,Open,,,0,C234_C235_C900
I164_I39_I167,stage_2_Glitch create object_delete object_issue IO in parallel,5974,33060,Glitch create object_issue IO_delete object in parallel,yanb,Passed,364963,2018/10/29 0:00,Failed,10533,MDT-48322,yanh3,Open,,,0,C235_C858
I180,Stage_2_Create Clone of a Virtual Machine from a snapshot VM,5985,33101,Create Clone of a Virtual Machine from a snapshot VM,lwang3,Failed,364945,2018/10/29 0:00,Failed,10534,MDT-48321,chenn8,New,,,0,C313
I53,Stage_2_Snapshots LifeCycle,6305,33357,Snapshots LifeCycle,jguo,Failed,365344,2018/10/29 0:00,Running,10541,MDT-48338,jguo,Open,,,0,C538
I54,Stage_1_Async_replication_session_with_clones,6208,34530,Async replication session with clons,liw27,Running,365346,2018/10/29 0:00,Failed,10542,MDT-48348,liw27,Open,,,0,C1146_C629_C619
I54,Stage_1_Reprotection after Planed Failover,6206,33324,Reprotection after Planed Failover,liw27,Running,365374,2018/10/29 0:00,Failed,10548,MDT-48372,liw27,Open,,,0,C1072
I164_I39_I167,stage_2_Glitch create object_delete object_issue IO in parallel,5974,33060,Glitch create object_issue IO_delete object in parallel,yanb,Passed,365411,2018/10/29 0:00,Failed,10551,MDT-48385,yanh3,Open,,,0,C235_C858
I164_I39_I167,stage_2_Volume Create_Delete Storming with dedupe_compress IO,6107,33163,Volume Create_Delete Storming with dedupe_compress IO,yanb,Passed,365414,2018/10/29 0:00,Failed,10552,MDT-48391,byan,Open,,,0,C234_C235_C900_C974_C1044
I164_I39_I167,stage_1_massive_operataions_with_dedupe_comression_IO,5968,33019,massive_operataions_with_dedupe_comression_IO,chene10,Failed,364935,2018/10/29 0:00,Failed,10560,MDT-48408,byan,Open,,,0,C234_C974_C1044
